,text,hex,h,l
204,DMC 3822,#eec67c,0.10818713450292397,0.7098039215686275
205,DMC 3823,#f4debd,0.09999999999999998,0.8490196078431373
206,DMC 3824,#f6aaa0,0.019379844961240292,0.7960784313725491
207,DMC 3825,#f4a989,0.04984423676012461,0.7470588235294118
208,DMC 3826,#aa613d,0.055045871559633024,0.45294117647058824
209,DMC 3827,#e6a87a,0.07098765432098765,0.6901960784313725
210,DMC 3828,#b38961,0.0813008130081301,0.5411764705882353
211,DMC 3829,#ae7743,0.0809968847352025,0.4725490196078431
212,DMC 3830,#ab5653,0.005681818181818189,0.4980392156862745
213,DMC 3831,#ab3851,0.963768115942029,0.44509803921568625
214,DMC 3832,#c95672,0.9594202898550724,0.5627450980392157
215,DMC 3833,#db8596,0.9670542635658914,0.6901960784313725
216,DMC 3834,#6f496d,0.8421052631578947,0.3607843137254902
217,DMC 3835,#906b92,0.8247863247863247,0.49607843137254903
218,DMC 3836,#b795b7,0.8333333333333334,0.6509803921568628
219,DMC 3837,#7754a1,0.7424242424242425,0.48039215686274506
220,DMC 3838,#597ebb,0.6037414965986394,0.5411764705882353
221,DMC 3839,#7394ca,0.603448275862069,0.6215686274509804
222,DMC 3840,#9ec0e1,0.582089552238806,0.7509803921568627
223,DMC 3841,#b6d0de,0.5583333333333333,0.7921568627450981
224,DMC 3842,#04608a,0.5522388059701492,0.2784313725490196
225,DMC 3843,#0088cd,0.5560975609756098,0.4019607843137255
226,DMC 3844,#009ecd,0.5382113821138212,0.4019607843137255
227,DMC 3845,#00afd3,0.528436018957346,0.4137254901960784
228,DMC 3846,#00bfdf,0.523916292974589,0.4372549019607843
229,DMC 3847,#09726d,0.49206349206349215,0.2411764705882353
230,DMC 3848,#32908b,0.4911347517730496,0.3803921568627451
231,DMC 3849,#68a9a9,0.5,0.5352941176470588
232,DMC 3850,#009370,0.46031746031746035,0.28823529411764703
233,DMC 3851,#30b195,0.46382428940568476,0.4411764705882353
234,DMC 3852,#d7953c,0.0956989247311828,0.5392156862745098
235,DMC 3853,#d97d44,0.06375838926174497,0.5588235294117647
236,DMC 3854,#efa168,0.07037037037037036,0.6725490196078432
237,DMC 3855,#f7c696,0.08247422680412372,0.7784313725490196
238,DMC 3856,#ecbe99,0.07429718875502009,0.7627450980392156
239,DMC 3857,#6b3a3b,0.9965986394557823,0.3235294117647059
240,DMC 3858,#884f54,0.9853801169590645,0.4215686274509804
241,DMC 3859,#b78279,0.024193548387096763,0.596078431372549
242,DMC 3860,#806669,0.9807692307692308,0.45098039215686275
243,DMC 3861,#a38c90,0.9710144927536233,0.5941176470588235
244,DMC 3862,#9b7663,0.05654761904761907,0.4980392156862745
245,DMC 3863,#ab8873,0.06250000000000001,0.5607843137254902
246,DMC 3864,#c4ab98,0.0719696969696969,0.6823529411764706
247,DMC 3865,#f3f5ef,0.2222222222222228,0.9490196078431372
248,DMC 3866,#e1d8d3,0.05952380952380962,0.8549019607843137
249,DMC 400,#86412e,0.03598484848484848,0.35294117647058826
250,DMC 402,#dd9774,0.05555555555555556,0.6607843137254902
251,DMC 407 (3773),#c29087,0.025423728813559313,0.6450980392156862
252,DMC 413,#536068,0.5634920634920635,0.3666666666666667
253,DMC 414,#798493,0.5961538461538461,0.5254901960784313
254,DMC 415,#bfc2cd,0.6309523809523812,0.7764705882352941
